Rated 10: AlphaFish = Black vs Oyinda (1639, rank 87); result 1-0 checkmate plies 102
   mv san      sf_w_bef sf_w_aft  loss spent  best
  5… c5              6       11     5*  None  d5d4
  6… exd5            4        8     4* 4.249  e6d5
  7… Ne4            11        2     0* 4.124  f6e4
  8… Nc6            -4      -10     0* 4.004  e8g8
  9… O-O           -81      -80     1* 3.886  c8g4
 10… Nc3          -125     -137     0* 3.773  e4c3
 11… Ne2+         -158     -147    11* 3.666  c3e2
 12… cxd4         -128     -162     0*  3.56  c5d4
 21… h5           -375     -305    70* 2.756  b6f2
 31… Rxc5         -591     -546    45* 2.105  c6c5
 35… Ke6          -714     -660    54* 1.902  f7e6
 38. Kf2          -869   -10000  9131  1.364  e1d2
 38… Ba4        -10000     -901  9099* 1.766  d7c6
 39. Kg2          -901   -10000  9099  1.242  c5c6
 39… f5         -10000     -904  9096* 1.723  a4c6
 41. a4           -950    -1542   592  1.369  f2e3
 41… g6          -1542     -872   670* 1.643  a7a5
 42. a5           -872    -1097   225  1.269  a4a5
 43… Kh3         -1038     -844   194*  1.57  a8c6
 45… Bxa6         -821     -753    68*   1.5  b7a6
 46. Kf3          -753     -921   168   1.15  f2f3
 47. Kf2         -1029    -1661   632  1.205  g3g4
 47… Bb7         -1661     -932   729* 1.433  h3g4
 48. c8=Q         -932    -1094   162  1.103  c7c8q
 48… a5          -1094    10000 11094* 1.403  b7c8
eval (white cp) every 10 plies: [(5, 'b', 6), (10, 'b', -125), (15, 'b', -245), (20, 'b', -303), (25, 'b', -424), (30, 'b', -483), (35, 'b', -714), (40, 'b', -949), (45, 'b', -821), (50, 'b', 10000), (55, 'b', 10000)]
