rank,team_name,team_subtitle,team_id,university,rating,games_played,wins,draws,losses,provisional,public_team_url
1,SoberJackson,Sobriety,258a9828-7442-4bea-97cb-eed1845ad2cc,Mixed,2164,15,12,1,2,True,https://aichessathon.com/team/258a9828-7442-4bea-97cb-eed1845ad2cc
2,ms,,c3e1bc09-3d21-4279-ace0-16bb3742f5da,Imperial,2132,15,11,2,2,False,https://aichessathon.com/team/c3e1bc09-3d21-4279-ace0-16bb3742f5da
3,Mate in One,Mate in One,3be637a8-e78d-4da4-8016-d13e00170433,Manchester,2125,15,10,4,1,False,https://aichessathon.com/team/3be637a8-e78d-4da4-8016-d13e00170433
4,Patzer 1.2,Gijs Smit,3f0e0e44-cdce-485f-b5b6-3691e34f9f44,International,2080,15,11,1,3,True,https://aichessathon.com/team/3f0e0e44-cdce-485f-b5b6-3691e34f9f44
5,checkers,,9e5e613a-ca80-4fd9-aa68-76f184ef7bac,Imperial,2026,15,9,3,3,True,https://aichessathon.com/team/9e5e613a-ca80-4fd9-aa68-76f184ef7bac
6,Anchoa,Lubina,34fd9228-11bf-4e7a-ba8f-b452d96ad8c9,Imperial,2026,15,9,3,3,True,https://aichessathon.com/team/34fd9228-11bf-4e7a-ba8f-b452d96ad8c9
7,Capablanca,THE ROOOOOKKK!!!!,c7fad433-1020-4b2a-a0e3-8e86720d23de,Imperial,1957,15,11,0,4,True,https://aichessathon.com/team/c7fad433-1020-4b2a-a0e3-8e86720d23de
8,Blank Shooter,No More Ammo,b49586d0-218d-4491-a460-90d0d9cf321c,Mixed,1947,15,8,3,4,False,https://aichessathon.com/team/b49586d0-218d-4491-a460-90d0d9cf321c
9,test2,Team1,9efa4b9d-296d-4ee0-b2e4-319dace8d318,Mixed,1943,15,8,5,2,True,https://aichessathon.com/team/9efa4b9d-296d-4ee0-b2e4-319dace8d318
10,test_bot,pheanup,0a121c61-60a7-4926-a0e7-024dffa6b185,KCL,1937,11,5,3,3,True,https://aichessathon.com/team/0a121c61-60a7-4926-a0e7-024dffa6b185
11,AI Fellow,AI Fellows,b574c0ea-e994-4a16-9918-7fbc989c4234,International,1932,15,8,3,4,False,https://aichessathon.com/team/b574c0ea-e994-4a16-9918-7fbc989c4234
12,Loss Preventer,Lightning Tree,c90df064-e8e8-4144-b1fd-2dd6096dd21a,Mixed,1919,15,11,1,3,True,https://aichessathon.com/team/c90df064-e8e8-4144-b1fd-2dd6096dd21a
13,make_no_mistakes,Make_no_mistakes,ba636320-7bda-41ab-835d-3799a11613d8,Oxford,1890,15,8,3,4,True,https://aichessathon.com/team/ba636320-7bda-41ab-835d-3799a11613d8
14,stockfih,what even is en passant,b9cbed87-8a3a-437d-9333-1447f68200d1,International,1890,7,4,3,0,True,https://aichessathon.com/team/b9cbed87-8a3a-437d-9333-1447f68200d1
15,lyra,slopfish,1d137be0-3a3e-4cda-a7ba-b22d8d178e66,Warwick,1886,13,5,4,4,True,https://aichessathon.com/team/1d137be0-3a3e-4cda-a7ba-b22d8d178e66
16,Vengeance,Waterside Research,f1289d23-f983-4de4-8d7e-283fe2656c41,Durham,1885,15,7,3,5,True,https://aichessathon.com/team/f1289d23-f983-4de4-8d7e-283fe2656c41
17,stockfish.py,Asher Falcon,39c268bf-a894-4fb1-9d76-6b5343700832,Manchester,1884,15,9,1,5,True,https://aichessathon.com/team/39c268bf-a894-4fb1-9d76-6b5343700832
