rank,team_name,team_subtitle,team_id,university,rating,games_played,wins,draws,losses,provisional,public_team_url
1,My Gambit My Legacy,Alien Gambit,0e8ca369-000d-44d4-a7c8-d505bf0a3a30,International,1898,3,3,0,0,True,https://aichessathon.com/team/0e8ca369-000d-44d4-a7c8-d505bf0a3a30
2,KingofImperial,omega3 fish,1daad2c3-adda-4ae6-945c-e82c4015ee72,Imperial,1898,3,3,0,0,True,https://aichessathon.com/team/1daad2c3-adda-4ae6-945c-e82c4015ee72
3,SoberJackson,Sobriety,258a9828-7442-4bea-97cb-eed1845ad2cc,Mixed,1898,3,3,0,0,True,https://aichessathon.com/team/258a9828-7442-4bea-97cb-eed1845ad2cc
4,Fuzzydafool,FuzzyBot,3241cef5-6b1c-41f2-b275-f0e50fc52ed5,Warwick,1898,3,3,0,0,True,https://aichessathon.com/team/3241cef5-6b1c-41f2-b275-f0e50fc52ed5
5,Patzer 1.0,Gijs Smit,3f0e0e44-cdce-485f-b5b6-3691e34f9f44,International,1898,3,3,0,0,True,https://aichessathon.com/team/3f0e0e44-cdce-485f-b5b6-3691e34f9f44
6,Blunderbuss,Blunder Buss,5e10f7ae-b545-4ce9-bb7a-d2ec55f9387c,Mixed,1898,3,3,0,0,True,https://aichessathon.com/team/5e10f7ae-b545-4ce9-bb7a-d2ec55f9387c
7,checkers,,9e5e613a-ca80-4fd9-aa68-76f184ef7bac,Imperial,1898,3,3,0,0,True,https://aichessathon.com/team/9e5e613a-ca80-4fd9-aa68-76f184ef7bac
8,make_no_mistakes,Make_no_mistakes,ba636320-7bda-41ab-835d-3799a11613d8,Oxford,1898,3,3,0,0,True,https://aichessathon.com/team/ba636320-7bda-41ab-835d-3799a11613d8
9,ms,ms,c3e1bc09-3d21-4279-ace0-16bb3742f5da,Imperial,1898,3,3,0,0,True,https://aichessathon.com/team/c3e1bc09-3d21-4279-ace0-16bb3742f5da
10,kingsgambit,IM_master,ea00da98-023a-42bf-8560-495e84d8df1c,QMUL,1898,3,3,0,0,True,https://aichessathon.com/team/ea00da98-023a-42bf-8560-495e84d8df1c
11,The Rookie,Waterside Research,f1289d23-f983-4de4-8d7e-283fe2656c41,Durham,1898,3,3,0,0,True,https://aichessathon.com/team/f1289d23-f983-4de4-8d7e-283fe2656c41
