== STATIC VS SEARCH on the false-win corpus: 82 rows, 52 trajectories (V2.1; rated V1 at depth 8 for comparison) ==

means: SF +6  V2.1 static +217  qs +244  d4 +246  d6 +251  d8 +243  d10 +218 (52 rows)  | V1 d8 +246
classification by trajectory: {'MIXED': 7, 'STATIC': 32, 'SEARCH-INFLATED': 8, 'SEARCH-CORRECTABLE': 5}
classification by row: {'MIXED': 7, 'STATIC': 58, 'SEARCH-INFLATED': 12, 'SEARCH-CORRECTABLE': 5}

id      traj                       sig              SF  static     qs     d4     d6     d8    d10  V1 d8 class             
fw-034  gate2_v1:68:cB             KQRRBPPPPPPP-KQRRBPPPPPPPP   +0     +93   +101   +145   +152   +204   +151   +200 MIXED             
fw-007  gate2_passed:34:cW         KRP-KNPP         +7     +78    +78   +144   +160   +171   +148   +188 MIXED             
fw-018  gate2_v1:17:cB             KRBPP-KRBPPP    +45    +116   +116   +116   +100   +164   +162   +164 MIXED             
fw-020  gate2_v1:23:cB             KQNPPP-KQNPPP    +0     +74   +154   +154   +179   +159      -   +159 MIXED             
fw-035  gate2_v1:76:cB             KR-KRP           +0    +133   +133   +152   +151   +138   +132   +124 MIXED             
fw-000  competition:cl-076         KQRRBBNPPPPPPP-KQRRBNNPPPPPPP   +0     +68   +160   +194   +171   +123   +167   +128 MIXED             
fw-030  gate2_v1:41:cB             KPP-KB           +0    +135   +116   +132   +150   +121   +108   +137 MIXED             
fw-063  passed:96:cB               KQRPP-KQRPPP     +0      -4   +454   +358   +358   +384     +0   +384 SEARCH-CORRECTABLE
fw-019  gate2_v1:21:cW             KRPPP-KRPPP      -6    +146   +215   +215   +249   +223     +1   +225 SEARCH-CORRECTABLE
fw-022  gate2_v1:23:cW             KQNPPPPPP-KQNPPPPP   +9     +85   +177   +207   +187   +185    +86   +185 SEARCH-CORRECTABLE
fw-040  gate2_v1:90:cB             KQRPPPP-KQRPPPPP   +0    +167    +88   +128   +173   +181    +17   +141 SEARCH-CORRECTABLE
fw-074  postmortem:41:cB           KPP-KB           +0     -19    -19   +179   +183     +0     +0     +0 SEARCH-CORRECTABLE
fw-047  mopup:26:cB                KRP-KRP          +0     +51    +51   +145   +334   +376   +334   +394 SEARCH-INFLATED   
fw-070  postmortem:26:cB           KRP-KRP          +0    +147   +147   +349   +376   +334   +347   +357 SEARCH-INFLATED   
fw-048  mopup:26:cB                KRP-KRP          +0     +64   +306   +332   +281   +253      -   +278 SEARCH-INFLATED   
