== CONVERSION REGRESSION SUITE v1 (90 positions, hash 1a3de886a87db970) engine champions\v2_2a_low_material depth 6 ==

role        source         n  robust  serious  catast  agree
diagnostic  ALL           43   196.0    74.4%   20.9%  20.9%
diagnostic  blind          6   114.7    33.3%   16.7%  50.0%
diagnostic  control        6   119.0    50.0%   16.7%  33.3%
diagnostic  defence       12   176.2    83.3%    8.3%  16.7%
diagnostic  first_error   19   258.5    89.5%   31.6%  10.5%
validation  ALL           47   204.9    66.0%   29.8%  29.8%
validation  blind          7    23.3     0.0%    0.0% 100.0%
validation  control        2     4.5     0.0%    0.0% 100.0%
validation  defence       12   255.1    91.7%   25.0%  16.7%
validation  first_error   23   234.6    78.3%   39.1%  13.0%
validation  missed_mate    3   333.3    66.7%   66.7%   0.0%
